data_dia,target,no_t,no2_t,nox_t,o3_t,nox_x_o3_t,no_lag1,no_lag7,o3_lag1,o3_lag7,pm10_lag1,pm2_5_lag1,so2_lag12,no_ma3_s1,no_ma7_s1,o3_ma7_s1,pm10_ma3_s1,pm2_5_ma3_s1,so2_ma7_s1,no_ma60_s1,nox_ma60_s1,no2_ma30_s1,o3_ma150_s1,so2_ma150_s21,pm10_ma30_s1,pm2_5_ma7_s1
2020-02-03,170.0,1.898879630653624,4.423703252956541,3.0264935344877446,8.821595233582672,26.698500938305862,1.3650213905438355,1.8534579277261027,8.79334425616801,9.836797816195434,2.840968190147031,3.606961028713771,2.091031475784304,1.5156083335683606,1.6384203005527325,9.608627299283748,3.0213243371624663,3.730687538203847,2.737337239878731,1.7022260676380396,2.877071126359338,4.109576808045149,8.75381885146992,2.2690183685528287,3.0969166991809782,4.002807028236113
2020-02-04,145.0,1.7470217719701548,4.429091870596804,2.9683854674018324,7.60980333169469,22.588829619588562,1.898879630653624,1.6482068006376414,8.821595233582672,9.942405805633484,2.9064284991653744,3.410745600274505,2.1004469452148418,1.5760082518496705,1.6449091152566642,9.463598358910497,2.97406368253657,3.728668088238699,2.7380935989952553,1.7032472490632549,2.8782034466456263,4.128546613494921,8.761936901651652,2.263087657081201,3.089912878248565,3.927551537892143
2020-02-05,160.0,1.8273456174408609,4.748316723072264,3.0854726167586497,6.569185873682929,20.269043127646423,1.7470217719701548,1.6451802894522285,7.60980333169469,10.844237822123626,2.9537438520009727,3.440595700759583,2.03367061230291,1.6703075977225372,1.6590255397327376,9.130369434062098,2.900380180437793,3.4861007765826173,2.7010883764177342,1.7020825677419515,2.8774025207683014,4.16094609139298,8.757681450105915,2.2592201464544983,3.0943979556143986,3.796878368722862
2020-02-06,170.0,1.9249576865399531,4.7628312403754185,3.1255248969684297,5.453435744587271,17.04484919372508,1.8273456174408609,1.7752720853480706,6.569185873682929,8.80412392709425,3.159924944772267,4.571742077998891,1.9492305028610364,1.8244156733548789,1.6850491580168276,8.519647727141997,3.0066990986462048,3.807694459677657,2.566929922967623,1.705580708027844,2.881048148451918,4.176514567471279,8.747815953203201,2.26290760473411,3.097441497214213,3.770800213346547
2020-02-07,150.0,1.8245586818570407,3.9913184387141056,2.8778046401388124,6.180642356439338,17.78668125239961,1.9249576865399531,1.717679875809694,5.453435744587271,9.130829741440522,3.141823189197122,3.7104623124799674,2.778502682803593,1.833108358650322,1.706432815329954,8.040977986783858,3.085163995323454,3.907600030412811,2.4116264762486117,1.7111919902031738,2.8869158541596085,4.181354048710154,8.729665919795154,2.260835285567672,3.0967286207141203,3.7608011865892137
2020-02-15,150.0,1.8145210769187856,4.556331553221551,3.028036942802533,8.517081692004393,25.790038008256406,1.9214565022921024,1.6191041034764029,7.2289980308141715,8.107133765111051,2.8825456502424114,3.76756233235873,2.8448338301348466,1.874302135463066,1.7872161992842521,7.203488997904633,2.6433871258145256,3.451932126902058,2.0600732403179616,1.7116819971017605,2.872510117074572,4.158725358287214,8.614197107679503,2.2640112806471433,3.0113634100121422,3.619340933677509
2020-02-16,145.0,1.5080036836079695,4.035085042553005,2.7742329686120004,8.779125986000208,24.355340745960113,1.8145210769187856,1.8060081501328429,8.517081692004393,7.650694928415089,3.178456328653617,4.444042658556744,2.4358822731331955,1.8441588411747805,1.8151329097760212,7.262052987460824,2.874597629913746,3.850356657507769,2.1038536660775606,1.7132414982392574,2.8741704979373073,4.166351202809497,8.602250365679728,2.269008110651967,3.008840211508946,3.678811903104562
2020-02-17,185.0,1.690401023480001,4.490794867598446,2.9683332341896698,7.953985478887183,23.61007944124286,1.5080036836079695,1.6673593418481454,8.779125986000208,9.122542880527638,3.266666623280011,4.84120231679349,2.1869245014893286,1.7479937542729516,1.7725608431296107,7.423257424258698,3.1092228673920133,4.350935769236319,2.0762697285644833,1.7138480194072978,2.8761819207289077,4.177446140038964,8.585510898118912,2.2716678381044804,3.0121865905846663,3.8259590336905283
2020-02-18,225.0,1.7119501715862775,4.1822064994995625,2.88447801072424,7.032587226689513,20.285343213886065,1.690401023480001,1.7951353931431722,7.953985478887183,6.642034693444457,3.0390854511062138,4.177066267318524,2.0015596704206287,1.6709752613355844,1.7758525119341615,7.256320652595776,3.16140280101328,4.487437080889584,2.20301467588829,1.7150055416531198,2.8769511564079364,4.1998422787783305,8.57637507538534,2.266611663806107,3.0122059963184267,3.867139156331661
2020-02-19,205.0,1.8525101780648408,4.358465972524785,2.9890001833384585,8.811799171890014,26.338469340320927,1.7119501715862775,1.904950959783643,7.032587226689513,5.290005069463283,3.061515282655773,4.211947128148558,2.2515588420292234,1.6367849595580817,1.7639689088546049,7.3121138716307845,3.1224224523473327,4.410071904086855,2.197760265828202,1.7130549862387114,2.873543950230848,4.220062584783263,8.571761772064278,2.2723474015670777,3.0075075591595084,4.004293535931928
