data_formatada,descricao_aqi,aqi_final
2012-07-10,Unhealthy for Sensitive Groups,4.40278941695246
2012-07-11,Unhealthy for Sensitive Groups,4.458374863184962
2012-07-12,Unhealthy for Sensitive Groups,4.415685391324519
2012-07-13,Moderate,4.141723224145673
2012-07-14,Moderate,3.9654844427004403
2012-07-15,Moderate,4.057966415154122
2012-07-16,Moderate,4.1498036556752425
2012-07-17,Moderate,4.018970017981586
2012-07-18,Moderate,4.108644445331514
2012-07-19,Moderate,3.9558387809985662
2012-07-20,Moderate,4.269968462164547
2012-07-21,Unhealthy for Sensitive Groups,4.474098943591462
2012-07-22,Unhealthy,4.8717974251375855
2012-07-23,Unhealthy for Sensitive Groups,4.663450475906906
2012-07-24,Unhealthy,4.774029077930481
2012-07-25,Unhealthy for Sensitive Groups,4.661452557842895
2012-07-26,Unhealthy for Sensitive Groups,4.449356230341773
2012-07-27,Unhealthy for Sensitive Groups,4.43124460975318
2012-07-28,Moderate,4.226123216725372
2012-07-29,Unhealthy for Sensitive Groups,4.461931890955076
2012-07-30,Moderate,4.346998817385845
2012-07-31,Moderate,4.1019816923090815
2012-08-01,Moderate,4.0379805123877945
2012-08-02,Moderate,4.2214478955151415
2012-08-03,Moderate,4.3754468102920505
2012-08-04,Moderate,4.382988156999456
2012-08-05,Unhealthy for Sensitive Groups,4.4421575201598635
2012-08-06,Moderate,4.076169043960721
2012-08-07,Moderate,4.126609234671783
2012-08-08,Moderate,4.073340927444622
2012-08-09,Moderate,4.209497746713244
2012-08-10,Moderate,4.150916701902004
2012-08-11,Moderate,4.337642142988294
2012-08-12,Good,3.670783563178144
2012-08-13,Moderate,4.321891672356586
2012-08-14,Moderate,4.063711952959998
2012-08-15,Moderate,3.980733354059366
2012-08-16,Moderate,3.9392132544854683
2012-08-17,Moderate,3.849531402327975
2012-08-18,Good,3.735926126796707
2012-08-19,Moderate,3.984318771090911
2012-08-20,Moderate,4.306788175023875
2012-08-21,Moderate,4.034605393863859
2012-08-22,Moderate,4.172889015285893
2012-08-23,Moderate,4.141348497207465
2012-08-24,Moderate,3.9724618947585477
2012-08-25,Moderate,4.162337068062589
2012-08-26,Moderate,4.097209839624959
2012-08-27,Moderate,4.140473517948755
2012-08-28,Moderate,4.011626546884883
2012-08-29,Moderate,4.116131188296256
2012-08-30,Moderate,4.13281192975122
2012-08-31,Moderate,4.118570067868786
2012-09-01,Moderate,4.030509954779852
2012-09-02,Unhealthy for Sensitive Groups,4.7366293144369624
2012-09-03,Moderate,4.227476356661981
2012-09-04,Moderate,3.8112636034140963
2012-09-05,Unhealthy for Sensitive Groups,4.409056159703767
2012-09-06,Unhealthy for Sensitive Groups,4.422345813354511
2012-09-07,Unhealthy for Sensitive Groups,4.434419514554829
2012-09-08,Unhealthy for Sensitive Groups,4.411870697381093
2012-09-09,Moderate,4.311129890887943
2012-09-10,Moderate,4.292259929356733
2012-09-11,Unhealthy for Sensitive Groups,4.4052455020315096
2012-09-12,Moderate,4.228601892284415
2012-09-13,Moderate,4.261401413533305
2012-09-14,Moderate,4.007859352871855
2012-09-15,Moderate,4.202529316752291
2012-09-16,Unhealthy for Sensitive Groups,4.415034476734695
2012-09-17,Unhealthy for Sensitive Groups,4.492581335415608
2012-09-18,Unhealthy for Sensitive Groups,4.449168334270594
2012-09-19,Unhealthy for Sensitive Groups,4.539836416272005
2012-09-20,Unhealthy for Sensitive Groups,4.492074549308788
2012-09-21,Unhealthy for Sensitive Groups,4.404537401704773
2012-09-22,Moderate,4.168295568013559
2012-09-23,Moderate,4.004804929356504
2012-09-24,Moderate,4.235937607696377
2012-09-25,Moderate,4.274601987202064
2012-09-26,Moderate,3.9575304894133665
2012-09-27,Moderate,4.1132988208660635
2012-09-28,Moderate,4.0604333398838115
2012-09-29,Moderate,4.004076137317727
2012-09-30,Moderate,3.9657889498053347
2012-10-01,Moderate,4.380894509672965
2012-10-02,Moderate,4.3603628330477955
2012-10-03,Moderate,4.2880410379038905
2012-10-04,Moderate,4.18236299505618
2012-10-05,Moderate,4.209266347387008
2012-10-06,Moderate,3.861075909897425
2012-10-07,Moderate,3.8773613591970912
2012-10-08,Moderate,3.7964466038763365
2012-10-09,Moderate,4.237956321480707
2012-10-10,Unhealthy for Sensitive Groups,4.452263499712797
2012-10-11,Unhealthy for Sensitive Groups,4.4134703158397555
2012-10-12,Moderate,4.045249598913681
2012-10-13,Moderate,4.092423237295769
2012-10-14,Good,3.625252050935478
2012-10-15,Moderate,3.7876024617759545
2012-10-16,Unhealthy for Sensitive Groups,4.429436800676233
2012-10-17,Unhealthy for Sensitive Groups,4.50314745684492
2012-10-18,Unhealthy for Sensitive Groups,4.5045601311497725
2012-10-19,Moderate,3.9270541914879136
2012-10-20,Moderate,4.052043093033655
2012-10-21,Moderate,4.0388756114310365
2012-10-22,Moderate,3.9581691850587557
2012-10-23,Unhealthy for Sensitive Groups,4.421538229749856
2012-10-24,Moderate,4.302529140554469
2012-10-25,Moderate,3.9819300984607096
2012-10-26,Moderate,4.023933228757447
2012-10-27,Unhealthy for Sensitive Groups,4.673756481630052
2012-10-28,Moderate,4.218645252411444
2012-10-29,Moderate,4.28825271655611
2012-10-30,Unhealthy for Sensitive Groups,4.459009996505131
2012-10-31,Unhealthy for Sensitive Groups,4.585585053034873
2012-11-01,Moderate,3.9819300984607096
2012-11-02,Moderate,3.9654844427004403
2012-11-03,Moderate,3.8885536993594525
2012-11-04,Moderate,3.8337851908259744
2012-11-05,Moderate,4.069285074505728
2012-11-06,Moderate,4.215952486620805
2012-11-07,Moderate,3.9954310018891315
2012-11-08,Good,3.22820351924714
2012-11-09,Moderate,3.8945100063313114
2012-11-10,Good,3.740622479054369
2012-11-11,Moderate,3.9018998942351932
2012-11-12,Moderate,3.8591907545690307
2012-11-13,Moderate,3.900262979852265
2012-11-14,Moderate,3.9778846212662127
2012-11-15,Moderate,3.8401170235919824
2012-11-16,Moderate,3.9276899326353756
2012-11-17,Moderate,3.93528366465081
2012-11-18,Moderate,3.8103580753543413
2012-11-19,Moderate,4.057142582366522
2012-11-20,Moderate,4.182959218061575
2012-11-21,Moderate,4.219276708496439
2012-11-22,Moderate,3.911521108184107
2012-11-23,Unhealthy,4.797875844772444
2012-11-24,Unhealthy for Sensitive Groups,4.3925453921224005
2012-11-25,Moderate,4.1912644671743635
2012-11-26,Moderate,4.010613870811275
2012-11-27,Moderate,4.283051932019964
2012-11-28,Moderate,4.298877055958023
2012-11-29,Moderate,4.159281511187094
2012-11-30,Good,3.68626731530799
2012-12-01,Good,3.6384898438902806
2012-12-02,Moderate,3.9586053605697002
2012-12-03,Moderate,4.306166183389771
2012-12-04,Moderate,4.1352054321478695
2012-12-05,Unhealthy for Sensitive Groups,4.54308049905497
2012-12-06,Moderate,4.0598857260611485
2012-12-07,Unhealthy for Sensitive Groups,4.492539007009969
2012-12-08,Unhealthy for Sensitive Groups,4.616269562200564
2012-12-09,Moderate,3.8687964148488287
2012-12-10,Moderate,4.0188266096144
2012-12-11,Unhealthy for Sensitive Groups,4.465843443648034
2012-12-12,Unhealthy for Sensitive Groups,4.401550536506205
2012-12-13,Moderate,4.321178287803993
2012-12-14,Unhealthy for Sensitive Groups,4.416010668275298
2012-12-15,Unhealthy for Sensitive Groups,4.4189327662806575
