nome_estacao,codnum,data,ano,mes,dia,data_dia,chuva,temp,ur,co,no,no2,nox,so2,o3,pm10,pm2_5,lat,lon
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-04 00:30:00,2012,1,4,2012-01-04,0.0,27.07,78.79,0.07,,,,0.47,11.96,15.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-04 01:30:00,2012,1,4,2012-01-04,0.0,26.68,80.22,0.060000000000000005,,,,0.27,9.8,20.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-04 02:30:00,2012,1,4,2012-01-04,0.0,26.02,78.1,0.05,,,,0.07,7.64,16.5,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-04 03:30:00,2012,1,4,2012-01-04,0.0,25.31,77.0,0.17,,,,0.0,0.34,13.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-04 04:30:00,2012,1,4,2012-01-04,0.0,24.75,79.71,0.17,,,,0.0,0.81,13.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-04 05:30:00,2012,1,4,2012-01-04,0.0,24.78,80.77,0.12,,,,0.04,0.42,23.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-04 06:30:00,2012,1,4,2012-01-04,0.0,24.89,82.17,0.15,,,,0.36,0.29,23.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-04 07:30:00,2012,1,4,2012-01-04,0.0,24.7,84.22,0.21,,,,0.57,0.32,32.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-04 08:30:00,2012,1,4,2012-01-04,0.0,24.58,86.66,0.33,,,,2.83,0.44,26.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-04 09:30:00,2012,1,4,2012-01-04,0.0,25.85,92.5,0.27,,,,11.97,1.56,28.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-04 10:30:00,2012,1,4,2012-01-04,0.0,26.39,90.17,0.27,,,,13.3,2.89,44.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-04 11:30:00,2012,1,4,2012-01-04,0.0,28.11,82.57,0.4,,,,19.89,4.16,60.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-04 12:30:00,2012,1,4,2012-01-04,0.0,31.09,69.59,0.11,,,,3.87,32.41,54.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-04 13:30:00,2012,1,4,2012-01-04,0.0,33.23,65.65,0.13,,,,1.94,44.72,21.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-04 14:30:00,2012,1,4,2012-01-04,0.0,32.56,67.62,0.12333333333333334,,,,1.6666666666666667,49.22333333333333,21.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-04 15:30:00,2012,1,4,2012-01-04,0.0,31.75,66.38,0.11666666666666667,,,,1.3933333333333335,53.72666666666667,21.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-04 16:30:00,2012,1,4,2012-01-04,0.0,32.47,63.65,0.11,,,,1.12,58.23,11.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-04 17:30:00,2012,1,4,2012-01-04,0.0,33.16,61.91,0.12,,,,1.54,44.29,1.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-04 18:30:00,2012,1,4,2012-01-04,0.0,32.0,66.15,0.11,,,,0.85,33.23,17.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-04 19:30:00,2012,1,4,2012-01-04,0.0,31.26,68.37,0.11,,,,0.67,33.2,24.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-04 20:30:00,2012,1,4,2012-01-04,0.0,29.59,74.23,0.09,,,,0.52,35.21,19.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-04 21:30:00,2012,1,4,2012-01-04,0.0,28.34,79.54,0.09,,,,0.06,29.82,22.0,,-22.89777109,-43.22174541
