CGC_HOSP,data_dia,num_internacoes
00254512000184,2012-03-26,112
00254512000184,2012-03-27,140
00254512000184,2012-03-28,98
00254512000184,2012-03-29,196
00254512000184,2012-03-30,0
00254512000184,2012-03-31,0
00254512000184,2012-04-01,84
00254512000184,2012-04-02,168
00254512000184,2012-04-03,70
00254512000184,2012-04-04,140
00254512000184,2012-04-05,14
00254512000184,2012-04-06,112
00254512000184,2012-04-07,56
00254512000184,2012-04-08,42
00254512000184,2012-04-09,98
00254512000184,2012-04-10,56
00254512000184,2012-04-11,70
00254512000184,2012-04-12,70
00254512000184,2012-04-13,42
00254512000184,2012-04-14,84
00254512000184,2012-04-15,28
00254512000184,2012-04-16,70
00254512000184,2012-04-17,112
00254512000184,2012-04-18,28
00254512000184,2012-04-19,154
00254512000184,2012-04-20,56
00254512000184,2012-04-21,42
00254512000184,2012-04-22,112
00254512000184,2012-04-23,154
00254512000184,2012-04-24,98
00254512000184,2012-04-25,126
00254512000184,2012-04-26,28
00254512000184,2012-04-27,112
00254512000184,2012-04-28,182
00254512000184,2012-04-29,0
00254512000184,2012-04-30,0
00254512000184,2012-05-01,42
00254512000184,2012-05-02,56
00254512000184,2012-05-03,56
00254512000184,2012-05-04,28
00254512000184,2012-05-05,0
00254512000184,2012-05-06,28
00254512000184,2012-05-07,0
00254512000184,2012-05-08,0
00254512000184,2012-05-09,0
00254512000184,2012-05-10,0
00254512000184,2012-05-11,28
00254512000184,2012-05-12,28
00254512000184,2012-05-13,112
00254512000184,2012-05-14,56
00254512000184,2012-05-15,126
00254512000184,2012-05-16,140
00254512000184,2012-05-17,154
00254512000184,2012-05-18,112
00254512000184,2012-05-19,70
00254512000184,2012-05-20,140
00254512000184,2012-05-21,98
00254512000184,2012-05-22,126
00254512000184,2012-05-23,126
00254512000184,2012-05-24,140
00254512000184,2012-05-25,98
00254512000184,2012-05-26,112
00254512000184,2012-05-27,154
00254512000184,2012-05-28,238
00254512000184,2012-05-29,140
00254512000184,2012-05-30,0
00254512000184,2012-05-31,0
00254512000184,2012-06-01,14
00254512000184,2012-06-02,0
00254512000184,2012-06-03,0
00254512000184,2012-06-04,112
00254512000184,2012-06-05,70
00254512000184,2012-06-06,28
00254512000184,2012-06-07,28
00254512000184,2012-06-08,0
00254512000184,2012-06-09,98
00254512000184,2012-06-10,84
00254512000184,2012-06-11,112
00254512000184,2012-06-12,140
00254512000184,2012-06-13,56
00254512000184,2012-06-14,28
00254512000184,2012-06-15,56
00254512000184,2012-06-16,126
00254512000184,2012-06-17,56
00254512000184,2012-06-18,70
00254512000184,2012-06-19,154
00254512000184,2012-06-20,84
00254512000184,2012-06-21,98
00254512000184,2012-06-22,14
00254512000184,2012-06-23,70
00254512000184,2012-06-24,98
00254512000184,2012-06-25,112
00254512000184,2012-06-26,84
00254512000184,2012-06-27,84
00254512000184,2012-06-28,84
00254512000184,2012-06-29,56
00254512000184,2012-06-30,126
00254512000184,2012-07-01,168
00254512000184,2012-07-02,154
00254512000184,2012-07-03,84
00254512000184,2012-07-04,140
00254512000184,2012-07-05,140
00254512000184,2012-07-06,56
00254512000184,2012-07-07,112
00254512000184,2012-07-08,126
00254512000184,2012-07-09,168
00254512000184,2012-07-10,98
00254512000184,2012-07-11,84
00254512000184,2012-07-12,98
00254512000184,2012-07-13,28
00254512000184,2012-07-14,42
00254512000184,2012-07-15,112
00254512000184,2012-07-16,84
00254512000184,2012-07-17,28
00254512000184,2012-07-18,28
00254512000184,2012-07-19,84
00254512000184,2012-07-20,56
00254512000184,2012-07-21,84
00254512000184,2012-07-22,84
00254512000184,2012-07-23,56
00254512000184,2012-07-24,28
00254512000184,2012-07-25,14
00254512000184,2012-07-26,70
00254512000184,2012-07-27,28
00254512000184,2012-07-28,140
00254512000184,2012-07-29,112
00254512000184,2012-07-30,42
00254512000184,2012-07-31,70
00254512000184,2012-08-01,0
00254512000184,2012-08-02,0
00254512000184,2012-08-03,0
00254512000184,2012-08-04,0
00254512000184,2012-08-05,42
00254512000184,2012-08-06,56
00254512000184,2012-08-07,28
00254512000184,2012-08-08,42
00254512000184,2012-08-09,28
00254512000184,2012-08-10,0
00254512000184,2012-08-11,42
00254512000184,2012-08-12,56
00254512000184,2012-08-13,70
00254512000184,2012-08-14,56
00254512000184,2012-08-15,42
00254512000184,2012-08-16,42
00254512000184,2012-08-17,42
00254512000184,2012-08-18,98
00254512000184,2012-08-19,28
00254512000184,2012-08-20,84
00254512000184,2012-08-21,98
00254512000184,2012-08-22,84
00254512000184,2012-08-23,154
00254512000184,2012-08-24,56
00254512000184,2012-08-25,42
00254512000184,2012-08-26,28
00254512000184,2012-08-27,196
00254512000184,2012-08-28,56
00254512000184,2012-08-29,98
00254512000184,2012-08-30,0
00254512000184,2012-08-31,0
00254512000184,2012-09-01,154
00254512000184,2012-09-02,168
00254512000184,2012-09-03,154
00254512000184,2012-09-04,168
00254512000184,2012-09-05,56
00254512000184,2012-09-06,42
00254512000184,2012-09-07,154
00254512000184,2012-09-08,14
00254512000184,2012-09-09,98
00254512000184,2012-09-10,112
00254512000184,2012-09-11,42
00254512000184,2012-09-12,168
00254512000184,2012-09-13,98
00254512000184,2012-09-14,112
00254512000184,2012-09-15,84
00254512000184,2012-09-16,70
00254512000184,2012-09-17,98
00254512000184,2012-09-18,140
00254512000184,2012-09-19,126
00254512000184,2012-09-20,28
00254512000184,2012-09-21,42
00254512000184,2012-09-22,28
00254512000184,2012-09-23,42
00254512000184,2012-09-24,42
00254512000184,2012-09-25,84
00254512000184,2012-09-26,56
00254512000184,2012-09-27,28
00254512000184,2012-09-28,140
00254512000184,2012-09-29,14
00254512000184,2012-09-30,14
00254512000184,2012-10-01,42
00254512000184,2012-10-02,0
00254512000184,2012-10-03,28
00254512000184,2012-10-04,112
00254512000184,2012-10-05,28
00254512000184,2012-10-06,42
00254512000184,2012-10-07,42
00254512000184,2012-10-08,84
00254512000184,2012-10-09,84
00254512000184,2012-10-10,84
00254512000184,2012-10-11,70
00254512000184,2012-10-12,42
00254512000184,2012-10-13,56
00254512000184,2012-10-14,28
00254512000184,2012-10-15,56
00254512000184,2012-10-16,70
00254512000184,2012-10-17,70
00254512000184,2012-10-18,42
00254512000184,2012-10-19,42
00254512000184,2012-10-20,28
00254512000184,2012-10-21,42
00254512000184,2012-10-22,0
00254512000184,2012-10-23,28
00254512000184,2012-10-24,14
00254512000184,2012-10-25,42
00254512000184,2012-10-26,28
00254512000184,2012-10-27,42
00254512000184,2012-10-28,28
00254512000184,2012-10-29,112
00254512000184,2012-10-30,0
00254512000184,2012-10-31,0
00254512000184,2012-11-01,28
00254512000184,2012-11-02,14
00254512000184,2012-11-03,42
00254512000184,2012-11-04,112
00254512000184,2012-11-05,70
00254512000184,2012-11-06,42
00254512000184,2012-11-07,14
00254512000184,2012-11-08,42
00254512000184,2012-11-09,28
00254512000184,2012-11-10,42
00254512000184,2012-11-11,0
00254512000184,2012-11-12,14
00254512000184,2012-11-13,0
00254512000184,2012-11-14,28
00254512000184,2012-11-15,0
00254512000184,2012-11-16,28
00254512000184,2012-11-17,28
00254512000184,2012-11-18,70
00254512000184,2012-11-19,126
00254512000184,2012-11-20,42
00254512000184,2012-11-21,84
00254512000184,2012-11-22,42
00254512000184,2012-11-23,14
00254512000184,2012-11-24,14
00254512000184,2012-11-25,56
00254512000184,2012-11-26,14
00254512000184,2012-11-27,42
00254512000184,2012-11-28,154
00254512000184,2012-11-29,0
00254512000184,2012-11-30,0
00254512000184,2012-12-01,14
00254512000184,2012-12-02,70
00254512000184,2012-12-03,0
00254512000184,2012-12-04,70
00254512000184,2012-12-05,14
00254512000184,2012-12-06,28
00254512000184,2012-12-07,14
00254512000184,2012-12-08,70
00254512000184,2012-12-09,28
00254512000184,2012-12-10,14
00254512000184,2012-12-11,0
00254512000184,2012-12-12,14
00254512000184,2012-12-13,14
00254512000184,2012-12-14,42
00254512000184,2012-12-15,28
00254512000184,2012-12-16,0
00254512000184,2012-12-17,0
00254512000184,2012-12-18,0
00254512000184,2012-12-19,14
00254512000184,2012-12-20,42
00254512000184,2012-12-21,28
00254512000184,2012-12-22,41
00254512000184,2012-12-23,14
00254512000184,2012-12-24,0
00254512000184,2012-12-25,0
00254512000184,2012-12-26,70
00254512000184,2012-12-27,0
00254512000184,2012-12-28,56
00254512000184,2012-12-29,42
00254512000184,2012-12-30,14
00254512000184,2012-12-31,0
00254512000184,2013-01-01,0
00254512000184,2013-01-02,13
00254512000184,2013-01-03,13
00254512000184,2013-01-04,26
00254512000184,2013-01-05,26
00254512000184,2013-01-06,39
00254512000184,2013-01-07,0
00254512000184,2013-01-08,13
00254512000184,2013-01-09,13
00254512000184,2013-01-10,26
00254512000184,2013-01-11,0
00254512000184,2013-01-12,26
00254512000184,2013-01-13,65
00254512000184,2013-01-14,39
00254512000184,2013-01-15,13
00254512000184,2013-01-16,26
00254512000184,2013-01-17,0
00254512000184,2013-01-18,13
00254512000184,2013-01-19,39
00254512000184,2013-01-20,0
00254512000184,2013-01-21,13
00254512000184,2013-01-22,39
00254512000184,2013-01-23,0
00254512000184,2013-01-24,13
00254512000184,2013-01-25,0
00254512000184,2013-01-26,13
00254512000184,2013-01-27,0
00254512000184,2013-01-28,39
00254512000184,2013-01-29,26
00254512000184,2013-01-30,0
00254512000184,2013-01-31,0
00254512000184,2013-02-01,52
00254512000184,2013-02-02,26
00254512000184,2013-02-03,0
00254512000184,2013-02-04,39
00254512000184,2013-02-05,78
00254512000184,2013-02-06,52
00254512000184,2013-02-07,52
00254512000184,2013-02-08,13
00254512000184,2013-02-09,65
00254512000184,2013-02-10,26
00254512000184,2013-02-11,52
00254512000184,2013-02-12,39
00254512000184,2013-02-13,39
00254512000184,2013-02-14,104
00254512000184,2013-02-15,39
00254512000184,2013-02-16,13
00254512000184,2013-02-17,52
00254512000184,2013-02-18,13
00254512000184,2013-02-19,65
00254512000184,2013-02-20,26
00254512000184,2013-02-21,117
00254512000184,2013-02-22,13
00254512000184,2013-02-23,39
00254512000184,2013-02-24,26
00254512000184,2013-02-25,39
00254512000184,2013-02-26,39
00254512000184,2013-02-27,0
00254512000184,2013-02-28,0
00254512000184,2013-03-01,130
00254512000184,2013-03-02,130
00254512000184,2013-03-03,117
00254512000184,2013-03-04,78
00254512000184,2013-03-05,78
00254512000184,2013-03-06,78
00254512000184,2013-03-07,39
00254512000184,2013-03-08,52
00254512000184,2013-03-09,39
00254512000184,2013-03-10,39
00254512000184,2013-03-11,13
00254512000184,2013-03-12,26
00254512000184,2013-03-13,52
00254512000184,2013-03-14,52
00254512000184,2013-03-15,78
00254512000184,2013-03-16,52
00254512000184,2013-03-17,13
00254512000184,2013-03-18,117
00254512000184,2013-03-19,65
00254512000184,2013-03-20,0
00254512000184,2013-03-21,78
00254512000184,2013-03-22,26
00254512000184,2013-03-23,13
00254512000184,2013-03-24,52
00254512000184,2013-03-25,91
00254512000184,2013-03-26,91
00254512000184,2013-03-27,104
00254512000184,2013-03-28,39
00254512000184,2013-03-29,13
00254512000184,2013-03-30,0
00254512000184,2013-03-31,0
00254512000184,2013-04-01,39
00254512000184,2013-04-02,39
00254512000184,2013-04-03,39
00254512000184,2013-04-04,52
00254512000184,2013-04-05,52
00254512000184,2013-04-06,39
00254512000184,2013-04-07,13
00254512000184,2013-04-08,65
00254512000184,2013-04-09,13
00254512000184,2013-04-10,26
00254512000184,2013-04-11,26
00254512000184,2013-04-12,13
00254512000184,2013-04-13,39
00254512000184,2013-04-14,13
00254512000184,2013-04-15,13
00254512000184,2013-04-16,52
00254512000184,2013-04-17,26
00254512000184,2013-04-18,0
00254512000184,2013-04-19,117
00254512000184,2013-04-20,52
00254512000184,2013-04-21,26
00254512000184,2013-04-22,117
00254512000184,2013-04-23,13
00254512000184,2013-04-24,91
00254512000184,2013-04-25,39
00254512000184,2013-04-26,65
00254512000184,2013-04-27,130
00254512000184,2013-04-28,65
00254512000184,2013-04-29,0
00254512000184,2013-04-30,0
00254512000184,2013-05-01,39
00254512000184,2013-05-02,26
00254512000184,2013-05-03,26
00254512000184,2013-05-04,39
00254512000184,2013-05-05,78
00254512000184,2013-05-06,91
00254512000184,2013-05-07,13
00254512000184,2013-05-08,13
00254512000184,2013-05-09,26
00254512000184,2013-05-10,39
00254512000184,2013-05-11,26
00254512000184,2013-05-12,78
00254512000184,2013-05-13,26
00254512000184,2013-05-14,26
00254512000184,2013-05-15,52
00254512000184,2013-05-16,78
00254512000184,2013-05-17,13
00254512000184,2013-05-18,65
00254512000184,2013-05-19,0
00254512000184,2013-05-20,39
00254512000184,2013-05-21,13
00254512000184,2013-05-22,26
00254512000184,2013-05-23,0
00254512000184,2013-05-24,0
00254512000184,2013-05-25,39
00254512000184,2013-05-26,39
00254512000184,2013-05-27,78
00254512000184,2013-05-28,65
00254512000184,2013-05-29,39
00254512000184,2013-05-30,0
00254512000184,2013-05-31,0
00254512000184,2013-06-01,0
00254512000184,2013-06-02,0
00254512000184,2013-06-03,0
00254512000184,2013-06-04,13
00254512000184,2013-06-05,0
00254512000184,2013-06-06,0
00254512000184,2013-06-07,0
00254512000184,2013-06-08,0
00254512000184,2013-06-09,0
00254512000184,2013-06-10,0
00254512000184,2013-06-11,0
00254512000184,2013-06-12,0
00254512000184,2013-06-13,0
00254512000184,2013-06-14,13
00254512000184,2013-06-15,52
00254512000184,2013-06-16,26
00254512000184,2013-06-17,91
00254512000184,2013-06-18,26
00254512000184,2013-06-19,26
00254512000184,2013-06-20,52
00254512000184,2013-06-21,26
00254512000184,2013-06-22,39
00254512000184,2013-06-23,52
00254512000184,2013-06-24,26
00254512000184,2013-06-25,52
00254512000184,2013-06-26,91
00254512000184,2013-06-27,39
00254512000184,2013-06-28,13
00254512000184,2013-06-29,13
00254512000184,2013-06-30,39
00254512000184,2013-07-01,52
00254512000184,2013-07-02,26
00254512000184,2013-07-03,91
00254512000184,2013-07-04,39
00254512000184,2013-07-05,52
00254512000184,2013-07-06,117
00254512000184,2013-07-07,39
00254512000184,2013-07-08,39
00254512000184,2013-07-09,0
00254512000184,2013-07-10,130
00254512000184,2013-07-11,26
00254512000184,2013-07-12,0
00254512000184,2013-07-13,26
00254512000184,2013-07-14,13
00254512000184,2013-07-15,26
00254512000184,2013-07-16,0
00254512000184,2013-07-17,156
00254512000184,2013-07-18,26
00254512000184,2013-07-19,26
00254512000184,2013-07-20,39
00254512000184,2013-07-21,26
00254512000184,2013-07-22,26
00254512000184,2013-07-23,65
00254512000184,2013-07-24,13
00254512000184,2013-07-25,13
00254512000184,2013-07-26,13
00254512000184,2013-07-27,52
00254512000184,2013-07-28,0
00254512000184,2013-07-29,65
00254512000184,2013-07-30,26
00254512000184,2013-07-31,52
00254512000184,2013-08-01,13
00254512000184,2013-08-02,26
00254512000184,2013-08-03,0
00254512000184,2013-08-04,39
00254512000184,2013-08-05,0
00254512000184,2013-08-06,0
00254512000184,2013-08-07,104
00254512000184,2013-08-08,26
00254512000184,2013-08-09,26
00254512000184,2013-08-10,39
00254512000184,2013-08-11,26
00254512000184,2013-08-12,26
00254512000184,2013-08-13,39
00254512000184,2013-08-14,26
00254512000184,2013-08-15,13
00254512000184,2013-08-16,26
00254512000184,2013-08-17,78
00254512000184,2013-08-18,39
00254512000184,2013-08-19,52
00254512000184,2013-08-20,0
00254512000184,2013-08-21,26
00254512000184,2013-08-22,0
00254512000184,2013-08-23,26
00254512000184,2013-08-24,26
00254512000184,2013-08-25,52
00254512000184,2013-08-26,78
00254512000184,2013-08-27,0
00254512000184,2013-08-28,143
00254512000184,2013-08-29,13
00254512000184,2013-08-30,0
00254512000184,2013-08-31,13
00254512000184,2013-09-01,13
00254512000184,2013-09-02,65
00254512000184,2013-09-03,13
00254512000184,2013-09-04,52
00254512000184,2013-09-05,0
00254512000184,2013-09-06,0
00254512000184,2013-09-07,39
00254512000184,2013-09-08,26
00254512000184,2013-09-09,65
00254512000184,2013-09-10,26
00254512000184,2013-09-11,104
00254512000184,2013-09-12,26
00254512000184,2013-09-13,13
00254512000184,2013-09-14,13
00254512000184,2013-09-15,0
00254512000184,2013-09-16,65
00254512000184,2013-09-17,39
00254512000184,2013-09-18,65
00254512000184,2013-09-19,0
00254512000184,2013-09-20,13
00254512000184,2013-09-21,39
00254512000184,2013-09-22,0
00254512000184,2013-09-23,39
00254512000184,2013-09-24,26
00254512000184,2013-09-25,52
00254512000184,2013-09-26,26
00254512000184,2013-09-27,26
00254512000184,2013-09-28,52
00254512000184,2013-09-29,13
00254512000184,2013-09-30,26
00254512000184,2013-10-01,13
00254512000184,2013-10-02,52
00254512000184,2013-10-03,39
00254512000184,2013-10-04,26
00254512000184,2013-10-05,39
00254512000184,2013-10-06,13
00254512000184,2013-10-07,26
00254512000184,2013-10-08,0
00254512000184,2013-10-09,104
00254512000184,2013-10-10,117
00254512000184,2013-10-11,0
00254512000184,2013-10-12,39
00254512000184,2013-10-13,26
00254512000184,2013-10-14,78
00254512000184,2013-10-15,13
00254512000184,2013-10-16,78
00254512000184,2013-10-17,52
00254512000184,2013-10-18,13
00254512000184,2013-10-19,117
00254512000184,2013-10-20,13
00254512000184,2013-10-21,78
00254512000184,2013-10-22,13
00254512000184,2013-10-23,64
00254512000184,2013-10-24,104
00254512000184,2013-10-25,65
00254512000184,2013-10-26,52
00254512000184,2013-10-27,39
00254512000184,2013-10-28,130
00254512000184,2013-10-29,13
00254512000184,2013-10-30,143
00254512000184,2013-10-31,26
00254512000184,2013-11-01,39
00254512000184,2013-11-02,13
00254512000184,2013-11-03,26
00254512000184,2013-11-04,39
00254512000184,2013-11-05,13
00254512000184,2013-11-06,143
00254512000184,2013-11-07,52
00254512000184,2013-11-08,13
00254512000184,2013-11-09,52
00254512000184,2013-11-10,39
00254512000184,2013-11-11,117
00254512000184,2013-11-12,65
00254512000184,2013-11-13,130
00254512000184,2013-11-14,65
00254512000184,2013-11-15,26
00254512000184,2013-11-16,104
00254512000184,2013-11-17,13
00254512000184,2013-11-18,130
00254512000184,2013-11-19,39
00254512000184,2013-11-20,78
00254512000184,2013-11-21,0
00254512000184,2013-11-22,52
00254512000184,2013-11-23,26
00254512000184,2013-11-24,39
00254512000184,2013-11-25,130
00254512000184,2013-11-26,26
00254512000184,2013-11-27,13
00254512000184,2013-11-28,65
00254512000184,2013-11-29,38
00254512000184,2013-11-30,49
00254512000184,2013-12-01,39
00254512000184,2013-12-02,117
00254512000184,2013-12-03,65
00254512000184,2013-12-04,77
00254512000184,2013-12-05,0
00254512000184,2013-12-06,26
00254512000184,2013-12-07,0
00254512000184,2013-12-08,0
00254512000184,2013-12-09,38
00254512000184,2013-12-10,117
00254512000184,2013-12-11,51
00254512000184,2013-12-12,65
00254512000184,2013-12-13,52
00254512000184,2013-12-14,64
00254512000184,2013-12-15,91
00254512000184,2013-12-16,78
00254512000184,2013-12-17,39
00254512000184,2013-12-18,65
00254512000184,2013-12-19,39
00254512000184,2013-12-20,0
00254512000184,2013-12-21,13
00254512000184,2013-12-22,0
00254512000184,2013-12-23,0
00254512000184,2013-12-24,0
00254512000184,2013-12-25,0
00254512000184,2013-12-26,181
00254512000184,2013-12-27,51
00254512000184,2013-12-28,13
00254512000184,2013-12-29,63
00254512000184,2013-12-30,24
00254512000184,2013-12-31,0
00254512000184,2014-01-01,72
00254512000184,2014-01-02,0
00254512000184,2014-01-03,0
00254512000184,2014-01-04,24
00254512000184,2014-01-05,12
00254512000184,2014-01-06,48
00254512000184,2014-01-07,132
00254512000184,2014-01-08,180
00254512000184,2014-01-09,36
00254512000184,2014-01-10,12
00254512000184,2014-01-11,12
00254512000184,2014-01-12,12
00254512000184,2014-01-13,60
00254512000184,2014-01-14,96
00254512000184,2014-01-15,156
00254512000184,2014-01-16,0
00254512000184,2014-01-17,12
00254512000184,2014-01-18,84
00254512000184,2014-01-19,12
00254512000184,2014-01-20,48
00254512000184,2014-01-21,108
00254512000184,2014-01-22,96
00254512000184,2014-01-23,12
00254512000184,2014-01-24,24
00254512000184,2014-01-25,12
00254512000184,2014-01-26,12
00254512000184,2014-01-27,24
00254512000184,2014-01-28,0
00254512000184,2014-01-29,48
00254512000184,2014-01-30,36
00254512000184,2014-01-31,24
00254512000184,2014-02-01,12
00254512000184,2014-02-02,36
00254512000184,2014-02-03,12
00254512000184,2014-02-04,12
00254512000184,2014-02-05,36
00254512000184,2014-02-06,0
00254512000184,2014-02-07,12
00254512000184,2014-02-08,12
00254512000184,2014-02-09,0
00254512000184,2014-02-10,48
00254512000184,2014-02-11,84
00254512000184,2014-02-12,84
00254512000184,2014-02-13,0
00254512000184,2014-02-14,12
00254512000184,2014-02-15,0
00254512000184,2014-02-16,0
00254512000184,2014-02-17,12
00254512000184,2014-02-18,120
00254512000184,2014-02-19,84
00254512000184,2014-02-20,12
00254512000184,2014-02-21,0
00254512000184,2014-02-22,0
00254512000184,2014-02-23,12
00254512000184,2014-02-24,48
00254512000184,2014-02-25,120
00254512000184,2014-02-26,36
00254512000184,2014-02-27,12
00254512000184,2014-02-28,24
00254512000184,2014-03-01,0
00254512000184,2014-03-02,12
00254512000184,2014-03-03,12
00254512000184,2014-03-04,84
00254512000184,2014-03-05,120
00254512000184,2014-03-06,12
00254512000184,2014-03-07,0
00254512000184,2014-03-08,24
00254512000184,2014-03-09,12
00254512000184,2014-03-10,0
00254512000184,2014-03-11,132
00254512000184,2014-03-12,60
00254512000184,2014-03-13,0
00254512000184,2014-03-14,12
00254512000184,2014-03-15,24
00254512000184,2014-03-16,0
00254512000184,2014-03-17,24
00254512000184,2014-03-18,132
00254512000184,2014-03-19,96
00254512000184,2014-03-20,24
00254512000184,2014-03-21,24
00254512000184,2014-03-22,36
00254512000184,2014-03-23,0
00254512000184,2014-03-24,72
00254512000184,2014-03-25,108
00254512000184,2014-03-26,36
00254512000184,2014-03-27,0
00254512000184,2014-03-28,0
00254512000184,2014-03-29,12
00254512000184,2014-03-30,0
00254512000184,2014-03-31,24
00254512000184,2014-04-01,84
00254512000184,2014-04-02,12
00254512000184,2014-04-03,0
00254512000184,2014-04-04,12
00254512000184,2014-04-05,24
00254512000184,2014-04-06,12
00254512000184,2014-04-07,36
00254512000184,2014-04-08,84
00254512000184,2014-04-09,0
00254512000184,2014-04-10,0
00254512000184,2014-04-11,0
00254512000184,2014-04-12,36
00254512000184,2014-04-13,84
00254512000184,2014-04-14,12
00254512000184,2014-04-15,60
00254512000184,2014-04-16,24
00254512000184,2014-04-17,24
00254512000184,2014-04-18,24
00254512000184,2014-04-19,0
00254512000184,2014-04-20,0
00254512000184,2014-04-21,60
00254512000184,2014-04-22,36
00254512000184,2014-04-23,12
00254512000184,2014-04-24,12
00254512000184,2014-04-25,0
00254512000184,2014-04-26,48
00254512000184,2014-04-27,84
00254512000184,2014-04-28,48
00254512000184,2014-04-29,36
00254512000184,2014-04-30,24
00254512000184,2014-05-01,0
00254512000184,2014-05-02,0
00254512000184,2014-05-03,60
00254512000184,2014-05-04,12
00254512000184,2014-05-05,24
00254512000184,2014-05-06,96
00254512000184,2014-05-07,12
00254512000184,2014-05-08,24
00254512000184,2014-05-09,24
00254512000184,2014-05-10,0
00254512000184,2014-05-11,60
00254512000184,2014-05-12,24
00254512000184,2014-05-13,60
00254512000184,2014-05-14,36
00254512000184,2014-05-15,0
00254512000184,2014-05-16,60
00254512000184,2014-05-17,12
00254512000184,2014-05-18,84
00254512000184,2014-05-19,48
00254512000184,2014-05-20,72
00254512000184,2014-05-21,48
00254512000184,2014-05-22,72
00254512000184,2014-05-23,36
00254512000184,2014-05-24,12
00254512000184,2014-05-25,72
00254512000184,2014-05-26,84
00254512000184,2014-05-27,96
00254512000184,2014-05-28,12
00254512000184,2014-05-29,0
00254512000184,2014-05-30,24
00254512000184,2014-05-31,12
00254512000184,2014-06-01,24
00254512000184,2014-06-02,12
00254512000184,2014-06-03,12
00254512000184,2014-06-04,96
00254512000184,2014-06-05,24
00254512000184,2014-06-06,0
00254512000184,2014-06-07,12
00254512000184,2014-06-08,84
00254512000184,2014-06-09,132
00254512000184,2014-06-10,60
00254512000184,2014-06-11,60
00254512000184,2014-06-12,12
00254512000184,2014-06-13,12
00254512000184,2014-06-14,0
00254512000184,2014-06-15,24
00254512000184,2014-06-16,36
00254512000184,2014-06-17,84
00254512000184,2014-06-18,72
00254512000184,2014-06-19,0
00254512000184,2014-06-20,12
00254512000184,2014-06-21,0
00254512000184,2014-06-22,48
00254512000184,2014-06-23,0
00254512000184,2014-06-24,36
00254512000184,2014-06-25,132
00254512000184,2014-06-26,0
00254512000184,2014-06-27,24
00254512000184,2014-06-28,12
00254512000184,2014-06-29,24
00254512000184,2014-06-30,0
00254512000184,2014-07-01,108
00254512000184,2014-07-02,60
00254512000184,2014-07-03,24
00254512000184,2014-07-04,0
00254512000184,2014-07-05,0
00254512000184,2014-07-06,48
00254512000184,2014-07-07,0
00254512000184,2014-07-08,120
00254512000184,2014-07-09,108
00254512000184,2014-07-10,12
00254512000184,2014-07-11,0
00254512000184,2014-07-12,0
00254512000184,2014-07-13,108
00254512000184,2014-07-14,12
00254512000184,2014-07-15,84
00254512000184,2014-07-16,84
00254512000184,2014-07-17,36
00254512000184,2014-07-18,36
