data_formatada,aqi_final,descricao_aqi
2012-07-27,105.54810810810811,Unhealthy for Sensitive Groups
2012-07-28,83.88403041825094,Moderate
2012-07-29,109.24486486486487,Unhealthy for Sensitive Groups
2012-07-30,96.03739130434784,Moderate
2012-07-31,73.01584283903676,Moderate
2012-08-01,67.9795652173913,Moderate
2012-08-02,83.44652173913043,Moderate
2012-08-03,99.14782608695653,Moderate
2012-08-04,99.98934782608696,Moderate
2012-08-05,106.84798994974875,Unhealthy for Sensitive Groups
2012-08-06,70.94086956521738,Moderate
2012-08-07,75.05260869565217,Moderate
2012-08-08,70.71717391304348,Moderate
2012-08-09,82.33869565217393,Moderate
2012-08-10,77.1191304347826,Moderate
2012-08-11,95.03608695652174,Moderate
2012-08-12,45.138888888888886,Good
2012-08-13,93.37434782608696,Moderate
2012-08-14,69.9608695652174,Moderate
2012-08-15,63.77195652173913,Moderate
2012-08-16,60.88521739130435,Moderate
2012-08-17,55.090434782608696,Moderate
2012-08-18,48.53773584905661,Good
2012-08-19,64.02760869565218,Moderate
2012-08-20,91.80847826086958,Moderate
2012-08-21,67.72391304347826,Moderate
2012-08-22,79.03652173913042,Moderate
2012-08-23,76.29891304347827,Moderate
2012-08-24,63.186086956521734,Moderate
2012-08-25,78.10978260869565,Moderate
2012-08-26,72.62769328263624,Moderate
2012-08-27,76.22434782608697,Moderate
2012-08-28,66.00891304347826,Moderate
2012-08-29,74.17913043478262,Moderate
2012-08-30,75.5745652173913,Moderate
2012-08-31,74.38152173913043,Moderate
2012-09-01,67.41499999999999,Moderate
2012-09-02,148.78338085937497,Unhealthy for Sensitive Groups
2012-09-03,84.01108695652174,Moderate
2012-09-04,52.789565217391306,Moderate
2012-09-05,102.95432432432432,Unhealthy for Sensitive Groups
2012-09-06,104.5,Unhealthy for Sensitive Groups
2012-09-07,105.92462311557789,Unhealthy for Sensitive Groups
2012-09-08,103.27972972972972,Unhealthy for Sensitive Groups
2012-09-09,92.2558695652174,Moderate
2012-09-10,90.32731305449937,Moderate
2012-09-11,102.5154054054054,Unhealthy for Sensitive Groups
2012-09-12,84.11692015209125,Moderate
2012-09-13,87.26093155893537,Moderate
2012-09-14,65.73195652173914,Moderate
2012-09-15,81.6995652173913,Moderate
2012-09-16,103.64675675675676,Unhealthy for Sensitive Groups
2012-09-17,113.06807519531256,Unhealthy for Sensitive Groups
2012-09-18,107.69162162162162,Unhealthy for Sensitive Groups
2012-09-19,119.23027027027027,Unhealthy for Sensitive Groups
2012-09-20,113.0037688442211,Unhealthy for Sensitive Groups
2012-09-21,102.43405405405406,Unhealthy for Sensitive Groups
2012-09-22,78.63173913043478,Moderate
2012-09-23,65.50826086956522,Moderate
2012-09-24,84.81,Moderate
2012-09-25,88.55956521739131,Moderate
2012-09-26,62.14217391304347,Moderate
2012-09-27,73.94478260869566,Moderate
2012-09-28,69.70521739130436,Moderate
2012-09-29,65.455,Moderate
2012-09-30,62.71739130434783,Moderate
2012-10-01,99.755,Moderate
2012-10-02,97.48608695652175,Moderate
2012-10-03,89.90173913043478,Moderate
2012-10-04,79.87804347826088,Moderate
2012-10-05,82.31739130434784,Moderate
2012-10-06,55.80413043478261,Moderate
2012-10-07,56.82673913043478,Moderate
2012-10-08,51.924811197916696,Moderate
2012-10-09,85.00173913043479,Moderate
2012-10-10,108.06621621621622,Unhealthy for Sensitive Groups
2012-10-11,103.46513513513514,Unhealthy for Sensitive Groups
2012-10-12,68.53347826086956,Moderate
2012-10-13,72.2404347826087,Moderate
2012-10-14,42.90566037735849,Good
2012-10-15,51.4154347826087,Moderate
2012-10-16,105.33432432432433,Unhealthy for Sensitive Groups
2012-10-17,114.4172972972973,Unhealthy for Sensitive Groups
2012-10-18,114.59891891891891,Unhealthy for Sensitive Groups
2012-10-19,60.065,Moderate
2012-10-20,69.05526223958331,Moderate
2012-10-21,68.04752851711027,Moderate
2012-10-22,62.18647021546261,Moderate
2012-10-23,104.4054054054054,Unhealthy for Sensitive Groups
2012-10-24,91.37173913043479,Moderate
2012-10-25,63.85717391304347,Moderate
2012-10-26,66.9218948035488,Moderate
2012-10-27,138.61020703125,Unhealthy for Sensitive Groups
2012-10-28,83.18536121673003,Moderate
2012-10-29,89.92304347826088,Moderate
2012-10-30,108.8872972972973,Unhealthy for Sensitive Groups
2012-10-31,125.52051926298158,Unhealthy for Sensitive Groups
2012-11-01,63.85717391304347,Moderate
2012-11-02,62.69608695652175,Moderate
2012-11-03,57.5404347826087,Moderate
2012-11-04,54.13173913043478,Moderate
2012-11-05,70.39760869565217,Moderate
2012-11-06,82.93521739130435,Moderate
2012-11-07,64.82652173913044,Moderate
2012-11-08,27.552372685185187,Good
2012-11-09,57.923913043478265,Moderate
2012-11-10,48.79245283018868,Good
2012-11-11,58.40326086956522,Moderate
2012-11-12,55.68695652173913,Moderate
2012-11-13,58.29673913043479,Moderate
2012-11-14,63.5695652173913,Moderate
2012-11-15,54.51521739130435,Moderate
2012-11-16,60.107608695652175,Moderate
2012-11-17,60.61891304347826,Moderate
2012-11-18,52.73630434782609,Moderate
2012-11-19,69.4495652173913,Moderate
2012-11-20,79.93130434782609,Moderate
2012-11-21,83.2441304347826,Moderate
2012-11-22,59.03332587787967,Moderate
2012-11-23,159.4229932154605,Unhealthy
2012-11-24,101.06621621621622,Unhealthy for Sensitive Groups
2012-11-25,80.67695652173913,Moderate
2012-11-26,65.93434782608695,Moderate
2012-11-27,89.40108695652174,Moderate
2012-11-28,90.99891304347827,Moderate
2012-11-29,77.84347826086957,Moderate
2012-11-30,45.924528301886795,Good
2012-12-01,43.54330873842592,Good
2012-12-02,62.21673913043479,Moderate
2012-12-03,91.74456521739131,Moderate
2012-12-04,75.77695652173914,Moderate
2012-12-05,119.66559570312505,Unhealthy for Sensitive Groups
2012-12-06,69.66260869565217,Moderate
2012-12-07,113.0627027027027,Unhealthy for Sensitive Groups
2012-12-08,129.92716731770835,Unhealthy for Sensitive Groups
2012-12-09,56.286596958174904,Moderate
2012-12-10,66.54152173913045,Moderate
2012-12-11,109.72540540540541,Unhealthy for Sensitive Groups
2012-12-12,102.09162162162163,Unhealthy for Sensitive Groups
2012-12-13,93.29978260869565,Moderate
2012-12-14,103.76027027027027,Unhealthy for Sensitive Groups
2012-12-15,104.10081081081081,Unhealthy for Sensitive Groups
2012-12-16,102.62513513513514,Unhealthy for Sensitive Groups
2012-12-17,103.03945945945947,Unhealthy for Sensitive Groups
2012-12-18,101.24594594594595,Unhealthy for Sensitive Groups
2012-12-19,152.0763982319079,Unhealthy
2012-12-20,101.5827027027027,Unhealthy for Sensitive Groups
2012-12-21,153.05342639802632,Unhealthy
2012-12-22,103.58432432432433,Unhealthy for Sensitive Groups
2012-12-23,65.36929657794677,Moderate
2012-12-24,86.95737395833333,Moderate
2012-12-25,57.5191304347826,Moderate
2012-12-26,110.90783783783783,Unhealthy for Sensitive Groups
2012-12-27,108.39162162162162,Unhealthy for Sensitive Groups
2012-12-28,88.44866920152091,Moderate
2012-12-29,83.03108695652173,Moderate
2012-12-30,176.48075555098686,Unhealthy
2012-12-31,66.18441064638783,Moderate
2013-01-01,73.93413043478262,Moderate
2013-01-02,87.63282608695653,Moderate
2013-01-03,61.79065217391304,Moderate
2013-01-04,49.9811320754717,Good
2013-01-05,71.13260869565218,Moderate
2013-01-06,88.60885260416664,Moderate
2013-01-07,101.95918918918919,Unhealthy for Sensitive Groups
2013-01-08,73.25239130434782,Moderate
2013-01-09,84.72478260869565,Moderate
2013-01-10,80.75152173913044,Moderate
2013-01-11,59.883913043478266,Moderate
2013-01-12,74.9141304347826,Moderate
2013-01-13,77.76891304347825,Moderate
2013-01-14,85.27869565217392,Moderate
2013-01-15,85.08695652173913,Moderate
2013-01-16,93.75782608695653,Moderate
2013-01-17,55.47148288973384,Moderate
2013-01-18,89.47565217391305,Moderate
2013-01-19,77.58782608695651,Moderate
2013-01-20,47.783018867924525,Good
2013-01-21,47.74528301886792,Good
2013-01-22,44.69811320754717,Good
2013-01-23,43.235849056603776,Good
2013-01-24,88.71934782608696,Moderate
2013-01-25,93.2891304347826,Moderate
2013-01-26,82.7754347826087,Moderate
2013-01-27,71.79304347826087,Moderate
2013-01-28,49.90566037735849,Good
2013-01-29,47.905660377358494,Good
2013-01-30,34.9537037037037,Good
2013-01-31,43.65094339622642,Good
2013-02-01,39.867924528301884,Good
2013-02-02,75.53195652173913,Moderate
2013-02-03,73.26304347826087,Moderate
2013-02-04,69.09804347826086,Moderate
2013-02-05,76.00065217391304,Moderate
2013-02-06,62.32326086956522,Moderate
2013-02-07,85.9604347826087,Moderate
2013-02-08,93.03347826086957,Moderate
2013-02-09,102.30991601562502,Unhealthy for Sensitive Groups
2013-02-10,125.71824414062493,Unhealthy for Sensitive Groups
2013-02-11,138.50323828124996,Unhealthy for Sensitive Groups
2013-02-12,138.85534374999995,Unhealthy for Sensitive Groups
2013-02-13,74.14717391304349,Moderate
2013-02-14,79.17448246725813,Moderate
2013-02-15,114.99685546874997,Unhealthy for Sensitive Groups
2013-02-16,109.30299804687499,Unhealthy for Sensitive Groups
2013-02-17,65.81717391304348,Moderate
2013-02-18,120.37872070312496,Unhealthy for Sensitive Groups
2013-02-19,72.82630434782608,Moderate
2013-02-20,137.02796093749996,Unhealthy for Sensitive Groups
2013-02-21,86.05630434782609,Moderate
2013-02-22,59.896387832699624,Moderate
2013-02-23,59.35297845373891,Moderate
2013-02-24,66.72782002534855,Moderate
2013-02-25,103.59945945945945,Unhealthy for Sensitive Groups
2013-02-26,88.39978260869566,Moderate
2013-02-27,88.0163043478261,Moderate
2013-02-28,56.656304347826094,Moderate
2013-03-01,55.51652173913044,Moderate
2013-03-02,55.452608695652174,Moderate
2013-03-03,66.49891304347825,Moderate
2013-03-04,80.09108695652174,Moderate
2013-03-05,80.2295652173913,Moderate
2013-03-06,62.72987959442332,Moderate
2013-03-07,68.87846666666661,Moderate
2013-03-08,83.8416119791666,Moderate
2013-03-09,102.32551562499998,Unhealthy for Sensitive Groups
2013-03-10,55.410000000000004,Moderate
2013-03-11,56.286596958174904,Moderate
2013-03-12,61.321956521739125,Moderate
2013-03-13,63.38973384030419,Moderate
2013-03-14,44.81132075471698,Good
2013-03-15,45.37037037037037,Good
2013-03-16,42.82407407407407,Good
2013-03-17,53.56955006337135,Moderate
2013-03-18,44.41509433962264,Good
2013-03-19,52.77891304347826,Moderate
2013-03-20,56.98526615969582,Moderate
2013-03-21,101.57513513513514,Unhealthy for Sensitive Groups
2013-03-22,101.50702702702702,Unhealthy for Sensitive Groups
2013-03-23,61.13846641318124,Moderate
2013-03-24,49.80188679245283,Good
2013-03-25,70.355,Moderate
2013-03-26,64.81586956521738,Moderate
2013-03-27,56.96521739130435,Moderate
2013-03-28,55.59108695652174,Moderate
2013-03-29,48.943396226415096,Good
2013-03-30,36.9811320754717,Good
2013-03-31,56.11304347826086,Moderate
2013-04-01,66.16869565217391,Moderate
2013-04-02,58.147608695652174,Moderate
2013-04-03,48.07547169811321,Good
2013-04-04,60.70413043478261,Moderate
2013-04-05,63.93314321926489,Moderate
2013-04-06,68.86264258555133,Moderate
2013-04-07,55.160963244613434,Moderate
2013-04-08,53.91888466413181,Moderate
2013-04-09,62.962769328263626,Moderate
2013-04-10,62.09956521739131,Moderate
2013-04-11,61.971739130434784,Moderate
2013-04-12,87.78195652173913,Moderate
2013-04-13,71.05804347826087,Moderate
2013-04-14,39.07547169811321,Good
2013-04-15,55.37804347826087,Moderate
2013-04-16,64.86470215462612,Moderate
2013-04-17,61.119565217391305,Moderate
2013-04-18,73.20991761723701,Moderate
2013-04-19,62.147655259822564,Moderate
2013-04-20,61.875950570342205,Moderate
2013-04-21,64.2436628643853,Moderate
2013-04-22,73.49481939163499,Moderate
2013-04-23,59.081273764258555,Moderate
2013-04-24,67.24456521739131,Moderate
2013-04-25,68.24160329531053,Moderate
2013-04-26,103.39135135135135,Unhealthy for Sensitive Groups
2013-04-27,104.18048576214404,Unhealthy for Sensitive Groups
2013-04-28,104.07788944723617,Unhealthy for Sensitive Groups
2013-04-29,88.09086956521739,Moderate
2013-04-30,112.79857621440536,Unhealthy for Sensitive Groups
2013-05-01,102.41891891891892,Unhealthy for Sensitive Groups
2013-05-02,114.74790619765494,Unhealthy for Sensitive Groups
2013-05-03,101.63378378378378,Unhealthy for Sensitive Groups
2013-05-04,108.39351351351351,Unhealthy for Sensitive Groups
2013-05-05,130.13735343383587,Unhealthy for Sensitive Groups
2013-05-06,86.1352978453739,Moderate
2013-05-07,89.955,Moderate
2013-05-08,66.52021739130434,Moderate
2013-05-09,76.48,Moderate
2013-05-10,72.00608695652174,Moderate
2013-05-11,83.2867391304348,Moderate
2013-05-12,59.60695652173913,Moderate
2013-05-13,92.92695652173913,Moderate
2013-05-14,103.92108108108108,Unhealthy for Sensitive Groups
2013-05-15,98.81760869565218,Moderate
