data_formatada,descricao_aqi,aqi_final
2012-06-26,Moderate,4.347556483155257
2012-06-27,Moderate,4.396315609940641
2012-06-28,Unhealthy for Sensitive Groups,4.566841722627387
2012-06-29,Unhealthy for Sensitive Groups,4.578184739441378
2012-06-30,Unhealthy for Sensitive Groups,4.578925844447761
2012-07-01,Unhealthy,4.951888629054671
2012-07-02,Unhealthy for Sensitive Groups,4.571922809377833
2012-07-03,Unhealthy for Sensitive Groups,4.631847537215035
2012-07-04,Moderate,4.511946809464871
2012-07-05,Moderate,4.483437404795942
2012-07-06,Unhealthy for Sensitive Groups,4.538510905262333
2012-07-07,Unhealthy for Sensitive Groups,4.57391654099957
2012-07-08,Moderate,4.16514258142375
2012-07-09,Moderate,4.230529249425156
2012-07-10,Unhealthy for Sensitive Groups,4.5449409978296975
2012-07-11,Unhealthy for Sensitive Groups,4.605062768881699
2012-07-12,Unhealthy for Sensitive Groups,4.558887705502329
2012-07-13,Moderate,4.262772003897782
2012-07-14,Moderate,4.072375360463551
2012-07-15,Moderate,4.17228574448378
2012-07-16,Moderate,4.271502182322439
2012-07-17,Moderate,4.130157615820871
2012-07-18,Moderate,4.2270345324408565
2012-07-19,Moderate,4.06195445123042
2012-07-20,Moderate,4.401349783050714
2012-07-21,Unhealthy for Sensitive Groups,4.622073707620618
2012-07-22,Unhealthy,5.0529992753852015
2012-07-23,Unhealthy for Sensitive Groups,4.827067601348626
2012-07-24,Unhealthy,4.946925064079253
2012-07-25,Unhealthy for Sensitive Groups,4.8249030844524645
2012-07-26,Unhealthy for Sensitive Groups,4.595306793482578
2012-07-27,Unhealthy for Sensitive Groups,4.5757159980487545
2012-07-28,Moderate,4.353966316389562
2012-07-29,Unhealthy for Sensitive Groups,4.6089107586299365
2012-07-30,Moderate,4.484615636940434
2012-07-31,Moderate,4.219836453100546
2012-08-01,Moderate,4.150694820854077
2012-08-02,Moderate,4.348914103225719
2012-08-03,Moderate,4.51537378847416
2012-08-04,Moderate,4.523528277075908
2012-08-05,Unhealthy for Sensitive Groups,4.587519913754747
2012-08-06,Moderate,4.191950291505171
2012-08-07,Moderate,4.246443019485163
2012-08-08,Moderate,4.18889502717218
2012-08-09,Moderate,4.33600093178933
2012-08-10,Moderate,4.272704738579198
2012-08-11,Moderate,4.474500063060562
2012-08-12,Good,3.7538253976275646
2012-08-13,Moderate,4.457473086693736
2012-08-14,Moderate,4.178492709964224
2012-08-15,Moderate,4.0888495809865315
2012-08-16,Moderate,4.043992292689182
2012-08-17,Moderate,3.9470876644468493
2012-08-18,Good,3.82428222624572
2012-08-19,Moderate,4.0927230559860925
2012-08-20,Moderate,4.441146628186678
2012-08-21,Moderate,4.147048656145684
2012-08-22,Moderate,4.2964445876004
2012-08-23,Moderate,4.26236714822258
2012-08-24,Moderate,4.079913518021259
